Target Function,Software,Config,Tag,Source File,Proof Relpath,Proof Found,Compile Succeeded,Links Target,Semantic Valid,Development Succeeds,Verification Completes,Verification Time,Verification Succeeds,Target Function Reachable Line Count,Target Function Covered Line Count,Target Function Line Coverage %,Program Reachable Line Count,Program Covered Line Count,Program Line Coverage %,Overall Reachable Line Count,Overall Covered Line Count,Overall Line Coverage %,Total Memory-Safety Properties,Total Memory-Safety Properties By Class,Verified Memory-Safety Properties,Verified Memory-Safety Properties By Class,Verified Memory-Safety Properties %,Total Memory-Safety Property Lines,Verified Memory-Safety Property Lines,Vulnerability Report Count,Violated Memory-Safety Property Lines,Reported Vulnerabilities,Property Violations,Precondition Violations,Generation Time,API Cost,Proof Size LOC,Proof File Size,Harness Size LOC,Source Files In Scope,Functions In Scope,Loop Unwindset Count,Loop Unwind Min,Loop Unwind Max,Model Used Variable Count,Assumption Variable Count,Harness Symbol Variable Count,Proof-Side Symbol Variable Count,Function Model Count,Function Model Avg LOC
dio_input,contiki-ng,autoup-s1,exp-0417,os/net/routing/rpl-lite/rpl-icmp6.c,rpl-icmp6/dio_input,True,True,False,False,True,True,89.460250,True,128,128,100.000000,133,133,100.000000,148,144,97.297297,314,"{""overflow"": 62, ""pointer"": 6, ""pointer arithmetic"": 49, ""pointer dereference"": 167, ""pointer primitives"": 18, ""precondition_instance"": 10, ""undefined-shift"": 2}",314,"{""overflow"": 62, ""pointer"": 6, ""pointer arithmetic"": 49, ""pointer dereference"": 167, ""pointer primitives"": 18, ""precondition_instance"": 10, ""undefined-shift"": 2}",100.000000,48,48,0,0,0,0,0,770.575382,0.7496,4,6,4,1,3,0,2,2,0,0,0,0,0,
rpl_process_dio,contiki-ng,autoup-s1,exp-0417,os/net/routing/rpl-lite/rpl-dag.c,rpl-dag/rpl_process_dio,True,True,True,True,True,True,1.041147,True,12,12,100.000000,221,221,100.000000,300,296,98.666667,374,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 9, ""pointer"": 4, ""pointer arithmetic"": 34, ""pointer dereference"": 303, ""pointer primitives"": 12, ""precondition"": 2, ""precondition_instance"": 7}",374,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 9, ""pointer"": 4, ""pointer arithmetic"": 34, ""pointer dereference"": 303, ""pointer primitives"": 12, ""precondition"": 2, ""precondition_instance"": 7}",100.000000,55,55,0,0,0,0,0,2401.036070,2.5197,68,86,19,1,12,1,2,17,8,2,40,40,13,3.769231
read_frame,contiki-ng,autoup-s1,exp-0417,arch/cpu/nrf/net/nrf-ieee-driver-arch.c,nrf-ieee-driver-arch/read_frame,True,True,True,True,True,True,0.180394,False,23,23,100.000000,159,150,94.339623,193,180,93.264249,197,"{""array bounds"": 8, ""assertion"": 2, ""overflow"": 6, ""pointer"": 2, ""pointer arithmetic"": 17, ""pointer dereference"": 125, ""pointer primitives"": 30, ""precondition_instance"": 4, ""undefined-shift"": 3}",191,"{""array bounds"": 5, ""assertion"": 2, ""overflow"": 6, ""pointer"": 2, ""pointer arithmetic"": 17, ""pointer dereference"": 122, ""pointer primitives"": 30, ""precondition_instance"": 4, ""undefined-shift"": 3}",96.954315,40,37,1,3,4,3,1,3335.904729,4.0403,23,39,23,1,36,0,2,2,1,1,8,8,0,
check_for_tcp_syn,contiki-ng,autoup-s1,exp-0417,os/net/ipv6/tcpip.c,tcpip/check_for_tcp_syn,True,True,True,True,True,True,0.100806,True,4,4,100.000000,10,10,100.000000,13,13,100.000000,11,"{""pointer dereference"": 11}",11,"{""pointer dereference"": 11}",100.000000,3,3,0,0,0,0,0,419.439823,0.5613,3,9,3,1,3,0,2,2,0,0,0,0,0,
storage_get_index,contiki-ng,autoup-s1,exp-0417,os/storage/antelope/storage-cfs.c,storage-cfs/storage_get_index,True,True,True,True,True,True,0.125379,True,22,21,95.454545,29,28,96.551724,57,52,91.228070,136,"{""array bounds"": 1, ""assertion"": 2, ""pointer"": 6, ""pointer arithmetic"": 61, ""pointer dereference"": 36, ""pointer primitives"": 21, ""precondition_instance"": 9}",136,"{""array bounds"": 1, ""assertion"": 2, ""pointer"": 6, ""pointer arithmetic"": 61, ""pointer dereference"": 36, ""pointer primitives"": 21, ""precondition_instance"": 9}",100.000000,14,14,1,0,1,0,1,982.469101,1.3605,17,20,17,1,2,2,2,13,4,3,7,7,0,
PROCESS_THREAD,contiki-ng,autoup-s1,exp-0417,os/net/mac/ble/ble-l2cap.c,ble-l2cap/PROCESS_THREAD,True,True,False,False,True,True,25.211626,False,,,,78,77,98.717949,133,128,96.240602,403,"{""assertion"": 2, ""overflow"": 6, ""pointer"": 14, ""pointer arithmetic"": 134, ""pointer dereference"": 181, ""pointer primitives"": 45, ""precondition_instance"": 21}",397,"{""assertion"": 2, ""overflow"": 6, ""pointer"": 14, ""pointer arithmetic"": 134, ""pointer dereference"": 175, ""pointer primitives"": 45, ""precondition_instance"": 21}",98.511166,38,37,0,1,1,1,0,12534.154785,6.3934,44,60,22,1,3,0,2,2,5,5,16,16,4,5.500000
input_l2cap_frame_flow_channel,contiki-ng,autoup-s1,exp-0417,os/net/mac/ble/ble-l2cap.c,ble-l2cap/input_l2cap_frame_flow_channel,True,True,True,True,True,True,0.099611,True,30,30,100.000000,30,30,100.000000,61,57,93.442623,315,"{""assertion"": 2, ""overflow"": 5, ""pointer"": 12, ""pointer arithmetic"": 113, ""pointer dereference"": 127, ""pointer primitives"": 38, ""precondition_instance"": 18}",315,"{""assertion"": 2, ""overflow"": 5, ""pointer"": 12, ""pointer arithmetic"": 113, ""pointer dereference"": 127, ""pointer primitives"": 38, ""precondition_instance"": 18}",100.000000,23,23,1,0,1,0,1,952.279835,1.1596,20,26,13,1,1,0,2,2,3,3,7,7,2,3.500000
uipbuf_get_next_header,contiki-ng,autoup-s1,exp-0417,os/net/ipv6/uipbuf.c,uipbuf/uipbuf_get_next_header,True,True,True,True,True,True,0.019746,True,31,31,100.000000,31,31,100.000000,47,47,100.000000,81,"{""assertion"": 2, ""overflow"": 5, ""pointer dereference"": 72, ""undefined-shift"": 2}",81,"{""assertion"": 2, ""overflow"": 5, ""pointer dereference"": 72, ""undefined-shift"": 2}",100.000000,11,11,0,0,0,0,0,657.192162,0.9005,16,21,16,1,1,0,2,2,4,4,6,6,0,
